date,close,pair_value,total_value,hold_value_compare,hold_strategy_value,amount0,amount1,cumulative_feeV,PNL,IL_change
2023-06-16,1716.5331404025098,10210.290676338516,10218.37681169667,10227.74705254866,10309.822435192775,3820.8045703377707,3.7223202719537793,8.086135358153838,227.74705254866058,-17.4563762101443
2023-06-17,1727.476392172032,10250.524171257564,10263.282730246183,10276.062419911324,10375.549673398575,4087.4016072655872,3.567702917342223,12.758558988618574,48.31536736266389,-8.081872443615794
2023-06-18,1719.417858746514,10221.090457015058,10237.194780830387,10240.4833241308,10327.148598726822,3775.0697837087623,3.7489552876957775,16.104323815328748,-35.57909578052386,6.145381538017318
2023-06-19,1736.367853572012,10282.060034597911,10305.752206536032,10315.31896202319,10428.953470893372,4162.772568354513,3.5241884106843804,23.69217193811994,74.83563789238906,-13.866060309535897
2023-06-20,1792.1890262331815,10457.980687011022,10491.180530758558,10561.774085284682,10764.225983095463,5292.235860665786,2.8823660622465628,33.199843747536114,246.4551232614922,-70.5344708483808
2023-06-21,1890.4872320293605,10677.840086896329,10727.38240850193,10995.76884517501,11354.623583702813,7561.481780293763,1.648441869272655,49.54232160560038,433.99475989032726,-214.13536000502063
2023-06-22,1873.3957259140416,10647.443039586913,10705.953149151701,10920.308423160162,11251.96876798651,7100.0175824485705,1.8935804155352878,58.510109564788635,-75.4604220148467,45.06337470543076
2023-06-23,1892.3739026470168,10653.355513943234,10712.051163891227,10934.325184090772,11271.036883057322,7146.1703280535085,1.8689333767624294,58.69564994799315,14.016760930609962,-8.10428657428929
2023-06-24,1876.997790663008,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-06-25,1900.5614736576665,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-06-26,1859.271879742574,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-06-27,1890.295123939709,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-06-28,1828.63312252399,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-06-29,1852.775732563658,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-06-30,1932.8091948558151,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-07-01,1924.828910363029,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-07-02,1937.157933784268,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
2023-07-03,1954.6252831819395,10653.355513943234,10712.051163891227,,11271.036883057322,,,,,
